SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,Comment,NOTE
1B,JB,N,190123033,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,1,0,79,26.5,300,10/12/18,82,BLCA,10,F,
1A,WR,N,180123602,FOSP,,2,S,J,U,9,9,2,0,0,1,1,0,1,0,79,27.9,300,8/16/18,123,BLCA,7,F,
1A,WR,N,180123603,FOSP,,2,S,9,2,S,J,2,0,0,2,0,0,1,0,78,33.5,300,9/19/18,83,BLCA,4,T,Sooty
1A,WR,N,180123604,FOSP,,2,S,J,2,S,J,3,0,0,3,0,0,1,0,75,28.4,300,9/19/18,93,BLCA,7,T,Sooty
1A,WR,N,180123605,FOSP,,2,S,J,2,S,J,2,0,0,2,0,0,1,0,79,28.2,300,9/19/18,93,BLCA,7,T,Red
1A,WR,N,180123606,FOSP,,2,S,J,2,J,9,9,0,0,2,0,0,2,0,83,33.7,300,9/27/18,85,BLCA,9,T,Sooty
1A,WR,N,180123607,FOSP,,2,J,9,2,S,J,9,0,0,3,0,0,1,0,78,26.4,300,9/27/18,95,BLCA,10,F,
1A,WR,N,180123608,FOSP,,2,S,9,2,S,J,4,0,0,2,0,0,1,0,86,36.5,300,10/12/18,112,BLCA,5,F,
1A,WR,N,180123609,SPTO,,2,S,E,F,H,J,4,0,0,0,0,0,2,0,84,32,300,10/12/18,121,BLCA,10,F,
1,WR,N,252133809,SOSP,5810,3,A,M,F,B,9,9,4,0,1,3,F,2,1,60,18.1,300,8/16/18,80,BLCA,2,F,
1,WR,N,252133810,SOSP,5810,2,J,I,U,9,9,9,9,9,9,9,9,9,9,999,22.1,300,8/16/18,93,BLCA,4,F,
1,WR,N,252133811,SOSP,5810,2,J,I,U,9,9,9,9,9,9,9,9,9,9,59,16.4,300,8/16/18,95,BLCA,5,F,
1,WR,N,252133812,SOSP,5810,3,B,9,F,B,9,9,4,0,1,1,0,3,2,60,999.9,300,8/16/18,103,BLCA,999,F,
1,WR,N,252133813,SOSP,5810,3,B,9,F,B,9,9,4,0,2,3,0,1,0,65,22.1,300,8/22/18,90,BLCA,1,F,
1,WR,N,252133814,SOSP,5810,2,S,J,U,9,9,1,0,0,2,1,0,1,0,66,21.4,300,8/22/18,90,BLCA,1,F,
1,WR,N,252133815,SOSP,5810,2,S,J,U,9,9,2,0,0,0,0,0,1,0,63,17.3,300,8/22/18,90,BLCA,1,F,
1,WR,N,252133816,SOSP,5810,U,9,9,U,9,9,9,0,0,1,3,0,1,0,62,20.9,300,8/22/18,90,BLCA,1,F,
1,WR,N,252133817,SOSP,5810,2,S,9,U,9,9,3,0,0,2,3,0,1,0,66,21.4,300,9/19/18,84,BLCA,1,F,
1,WR,N,252133818,SOSP,5810,U,9,9,U,9,9,9,9,9,9,9,9,2,0,64,999.9,300,9/19/18,84,BLCA,1,F,
1,WR,N,252133819,SOSP,5810,2,S,9,U,9,9,3,0,0,0,1,0,1,0,65,21.4,300,9/19/18,93,BLCA,4,F,
1,WR,N,252133820,SOSP,5810,U,9,9,U,9,9,9,0,0,0,2,0,1,0,68,21.8,300,9/19/18,122,BLCA,8,F,
1,WR,N,252133821,SOSP,5810,2,S,9,U,9,9,3,0,0,2,1,0,1,0,63,19.1,300,9/27/18,82,BLCA,1,F,
1,WR,N,252133822,SOSP,5810,3,S,9,U,9,9,6,0,0,3,1,0,2,0,63,19.2,300,9/27/18,84,BLCA,4,F,
1,WR,N,252133823,SOSP,5810,2,S,9,U,9,9,3,0,0,3,1,0,1,0,65,22.1,300,9/27/18,90,BLCA,5,F,
1,WR,N,252133824,HETH,5810,2,S,9,U,9,9,3,0,0,2,0,0,1,0,86,21.6,300,9/27/18,91,BLCA,9,F,
1C,WR,N,311175780,WAVI,,3,A,9,U,9,9,6,0,0,1,0,0,1,1,65,11.1,300,6/13/18,74,BLCA,5,F,
1C,WR,N,311175781,WAVI,,3,A,9,U,9,9,6,0,0,1,0,0,1,2,65,11.1,300,6/13/18,74,BLCA,5,F,
1C,WR,N,311175782,MGWA,,5,A,R,M,A,C,6,0,0,1,0,0,2,1,59,11.6,300,6/13/18,83,BLCA,3,F,
1C,WR,N,311175783,LISP,,3,A,C,M,C,9,6,0,3,1,0,0,1,0,62,19.2,300,6/13/18,84,BLCA,2,F,
1C,WR,N,311175784,MGWA,,3,A,B,F,A,B,9,3,0,9,0,0,9,9,53,12.1,300,6/13/18,91,BLCA,1,F,
1C,WR,N,311175785,LISP,,3,A,C,M,C,R,9,0,3,1,0,0,9,9,999,17.9,300,6/13/18,94,BLCA,1,F,
1C,WR,N,311175786,LAZB,,3,A,C,M,A,C,9,0,3,1,0,0,1,0,74,15.2,300,6/13/18,94,BLCA,8,F,
1,WR,N,252133806,SOSP,5810,3,A,C,M,C,9,6,0,3,1,0,0,2,1,65,20.7,300,6/13/18,95,BLCA,9,F,
1,WR,N,252133807,SOSP,5810,U,9,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,6/13/18,110,BLCA,10,F,
1,WR,N,252133808,SOSP,5810,3,A,C,M,C,9,6,0,0,1,0,0,1,0,66,19.6,300,6/13/18,110,BLCA,10,F,
,WR,U,,CAHU,,3,A,9,M,A,9,9,9,9,9,9,9,9,9,999,999.9,615,6/13/18,999,BLCA,9,T,found dead in net
,WR,U,,LISP,,3,A,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,0,6/13/18,999,BLCA,5,T,escaped at net
,WR,U,,WIWA,,3,A,9,M,A,9,9,9,9,9,9,9,9,9,999,999.9,0,6/13/18,999,BLCA,8,T,escaped from bag
0A,WR,N,231030396,WIWA,6850,3,B,9,F,B,9,9,3,0,2,0,0,1,0,50,7.8,300,6/13/18,84,BLCA,5,F,
0A,WR,N,231030397,OCWA,6460,3,A,C,M,C,9,6,0,2,2,0,0,2,1,57,8.2,300,6/13/18,94,BLCA,7,F,
1C,WR,N,311175787,WAVI,,3,A,C,M,C,9,6,0,1,1,0,0,2,1,64,10.5,300,6/13/18,95,BLCA,5,F,
1C,WR,N,311175788,WAVI,,3,A,C,M,C,9,6,0,2,1,0,0,2,1,67,10.6,300,6/13/18,95,BLCA,5,F,
1C,WR,N,311175789,WAVI,,3,A,C,M,C,9,6,0,2,0,0,0,1,0,68,11.2,300,6/13/18,103,BLCA,5,F,
1C,WR,N,311175790,WAVI,,3,A,C,M,C,9,6,0,1,0,0,0,1,0,67,10.6,300,6/13/18,103,BLCA,5,F,
1C,WR,N,311175791,WAVI,,3,A,C,M,C,9,6,0,2,0,0,0,1,0,68,11.1,300,6/13/18,105,BLCA,2,F,
1C,WR,N,311175792,LISP,,3,A,C,F,B,9,6,3,0,1,0,0,1,0,63,18.4,300,6/13/18,114,BLCA,3,F,
1C,WR,N,311175793,WAVI,,3,S,9,U,9,9,6,0,0,2,0,0,2,1,68,12.1,300,6/13/18,114,BLCA,2,F,
1C,WR,N,311175794,SAVS,,2,S,J,U,9,9,3,0,0,0,0,0,1,0,65,14.1,300,8/16/18,90,BLCA,8,F,
1C,WR,N,311175795,SAVS,,2,S,J,U,9,9,9,0,0,2,1,0,1,0,72,11.8,300,8/16/18,90,BLCA,8,F,
1C,WR,N,311175796,CAVI,,3,A,M,U,9,9,9,9,9,3,2,F,1,0,68,14.4,300,8/16/18,93,BLCA,4,F,
1C,WR,N,311175797,MGWA,6800,3,A,M,F,A,9,9,0,0,1,3,F,1,0,56,10.8,300,8/16/18,93,BLCA,6,F,
1C,WR,N,311175798,WAVI,,3,A,B,U,9,9,9,1,0,1,0,0,2,1,62,10.9,300,8/16/18,93,BLCA,2,T,slightly deformed bill in that lower mandible is slightly longer (< 1mm) and no hook on bill
1C,WR,N,311175799,MGWA,6800,2,S,J,U,9,9,1,0,0,3,1,0,1,0,57,10.6,300,8/16/18,122,BLCA,3,F,
1C,WR,N,311175800,WAVI,,2,J,9,U,9,9,9,0,0,2,0,0,1,0,60,10.5,300,8/22/18,85,BLCA,10,F,
1C,WR,N,177135048,WAVI,,3,A,9,U,9,9,9,0,0,2,0,0,3,1,63,11,300,8/22/18,85,BLCA,1,F,
1C,WR,N,177135049,WAVI,,2,S,J,U,9,9,2,0,0,2,0,0,1,0,66,10.4,300,8/22/18,85,BLCA,1,F,
1C,WR,N,177135050,WAVI,,2,S,J,U,9,9,2,0,0,2,0,0,1,0,65,10.2,300,8/22/18,101,BLCA,7,F,
1C,WR,N,177135051,MGWA,6800,2,S,J,M,J,9,2,0,0,3,0,0,0,0,60,12.8,300,8/22/18,105,BLCA,9,F,
1C,WR,N,177135052,LISP,,2,S,9,U,9,9,2,0,0,0,2,0,0,0,60,16.4,300,9/19/18,84,BLCA,6,F,
1C,WR,N,177135053,LISP,,2,J,9,U,9,9,9,0,0,2,0,0,1,0,61,15.5,300,9/19/18,103,BLCA,4,F,
1C,WR,N,177135054,SAVS,,U,9,9,U,9,9,9,0,0,3,0,0,1,1,72,18.7,300,9/27/18,100,BLCA,5,F,
1,WR,R,252133787,SOSP,5810,3,A,C,M,C,9,9,0,1,2,0,0,3,1,66,19.5,300,8/8/18,91,BLCA,3,F,
1,WR,R,252133782,SOSP,5810,3,A,B,F,B,9,9,2,0,2,0,0,3,1,61,19.2,300,8/8/18,91,BLCA,1,F,
0,WR,R,149008135,DUFL,,3,A,9,U,9,9,9,0,0,3,0,0,3,1,64,11.6,300,8/8/18,94,BLCA,9,F,
0A,WR,R,231030378,OCWA,6460,3,A,M,U,9,9,9,0,0,1,2,F,0,0,55,9.7,300,8/8/18,112,BLCA,7,T,first captured 8/15/17 in net #9
1,WR,R,252133807,SOSP,5810,3,A,B,F,B,9,9,3,0,1,2,F,2,4,999,19.6,300,8/16/18,94,BLCA,5,F,
1,WR,R,252133807,SOSP,5810,3,A,B,F,B,9,9,3,0,2,2,F,2,4,59,19.7,300,8/22/18,85,BLCA,5,T,no tail
1,WR,R,252133754,SOSP,5810,3,S,A,U,9,9,3,0,0,3,1,0,1,0,62,19.7,300,9/19/18,91,BLCA,4,F,
1,WR,R,252133762,SOSP,5810,U,9,9,U,9,9,9,0,0,3,0,0,1,0,999,22.9,300,9/27/18,104,BLCA,5,F,
0,WR,R,149008102,ORJU,5671,3,A,9,M,A,9,9,0,0,1,0,0,1,0,79,17.1,300,9/27/18,104,BLCA,6,F,
0,WR,N,149008131,DUFL,,3,A,9,U,9,9,9,0,0,2,9,9,9,9,65,11.5,300,6/13/18,83,BLCA,1,F,
0,WR,N,149008132,DUFL,,3,A,9,U,9,9,9,0,0,1,9,9,9,9,70,11.8,300,6/13/18,94,BLCA,3,F,
0,WR,N,149008133,ORJU,5671,3,A,9,M,A,C,9,0,0,1,9,9,9,9,72,20,300,6/13/18,95,BLCA,9,F,
0,WR,N,149008134,MOCH,,3,A,B,F,B,9,9,2,0,2,9,9,9,9,62,10.9,300,6/13/18,95,BLCA,10,F,
0,WR,N,149008135,DUFL,,3,S,A,U,9,9,6,0,0,1,9,9,9,9,65,12.7,300,6/13/18,114,BLCA,8,F,
0,WR,N,149008136,DUFL,,2,J,9,U,9,9,9,0,0,1,9,9,9,9,69,11.9,300,8/8/18,95,BLCA,7,F,
0,WR,N,149008137,DUFL,,2,J,9,U,9,9,9,0,0,2,9,9,9,9,62,11,300,8/8/18,103,BLCA,6,F,
0,WR,N,149008138,ORJU,5671,3,A,M,M,A,9,9,0,9,1,3,F,9,9,75,19,300,8/8/18,123,BLCA,2,F,
0,WR,N,149008139,DUFL,,3,A,9,U,9,9,9,0,0,1,0,0,9,9,64,10.5,300,8/16/18,80,BLCA,6,F,
0,WR,N,149008140,DUFL,,2,S,J,U,9,9,9,0,0,1,0,0,9,9,67,11,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008141,ORJU,5671,2,J,9,U,9,9,9,9,9,2,9,9,9,9,70,17.1,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008142,ORJU,5671,3,A,9,M,A,9,9,9,9,1,3,F,9,9,73,17.1,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008143,ORJU,5671,2,J,9,U,9,9,9,9,9,0,9,9,9,9,74,16.3,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008144,ORJU,5671,2,J,9,U,9,9,9,9,9,1,1,9,9,9,69,17.6,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008145,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,999,17.3,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008146,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,72,15.6,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008147,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,73,17.7,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008148,ORJU,5671,2,J,9,U,9,9,9,9,9,1,9,9,9,9,72,16.6,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008149,ORJU,5671,3,A,9,M,A,9,9,9,9,2,3,F,9,9,74,20.5,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008150,ORJU,5671,2,J,9,U,9,9,9,0,0,1,1,0,1,0,76,17.7,300,8/16/18,84,BLCA,10,F,
0,WR,N,149008151,DUFL,,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,10.6,300,8/16/18,92,BLCA,3,F,
0,WR,N,149008152,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,18.5,300,8/16/18,92,BLCA,2,F,
0,WR,N,149008153,ORJU,5671,3,A,9,M,A,9,9,9,9,9,9,9,9,9,999,16.7,300,8/16/18,92,BLCA,2,F,
0,WR,N,149008154,ORJU,5671,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,17.8,300,8/16/18,92,BLCA,2,F,
0,WR,N,149008155,ORJU,5671,2,J,9,U,9,9,9,0,0,1,3,0,1,0,73,17.2,300,8/16/18,95,BLCA,5,F,
0,WR,N,149008156,HOWR,,2,S,J,U,9,9,2,0,0,3,0,0,1,0,51,9.3,300,8/16/18,102,BLCA,4,F,
0,WR,N,149008157,ORJU,5671,2,J,9,U,9,9,9,0,0,1,0,0,1,0,68,17.9,300,8/16/18,113,BLCA,3,F,
0,WR,N,149008158,HOWR,,3,M,9,U,9,9,9,0,0,2,0,0,2,0,50,10.8,300,8/16/18,122,BLCA,5,F,
0,WR,N,149008159,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,72,17,300,8/16/18,123,BLCA,2,F,
0,WR,N,149008160,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,71,16.3,300,8/22/18,91,BLCA,1,F,
0,WR,N,149008161,ORJU,5671,3,A,9,U,9,9,9,0,0,1,3,F,3,1,72,17.2,300,8/22/18,92,BLCA,10,F,
0,WR,N,149008162,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,74,16.4,300,8/22/18,112,BLCA,5,F,
0,WR,N,149008163,CHSP,5660,2,S,J,U,9,9,2,0,0,2,3,0,1,0,70,12.4,300,8/22/18,112,BLCA,8,F,
0,WR,N,149008164,CHSP,5660,2,J,9,U,9,9,9,0,0,3,1,0,1,0,68,12.1,300,8/22/18,112,BLCA,8,F,
0,WR,N,149008165,CHSP,5660,2,J,9,U,9,9,9,0,0,3,0,0,1,0,65,10.3,300,8/22/18,113,BLCA,8,F,
0,WR,N,149008166,CHSP,5660,2,J,9,U,9,9,9,0,0,3,0,0,1,0,69,11.2,300,8/22/18,113,BLCA,8,F,
0,WR,N,149008167,ORJU,5671,2,J,9,U,9,9,9,0,0,2,0,0,0,0,999,15.4,300,8/22/18,120,BLCA,3,F,
0,WR,N,149008168,ORJU,5671,3,A,M,M,A,9,9,0,0,2,3,0,1,0,75,17.9,300,8/22/18,120,BLCA,3,F,
0,WR,N,149008169,AUWA,6560,3,A,M,M,A,9,9,0,0,2,0,0,1,0,75,12,300,9/19/18,83,BLCA,4,F,
0,WR,N,149008170,AUWA,6560,2,J,S,U,9,9,3,0,0,1,0,0,1,0,71,10.9,300,9/19/18,83,BLCA,5,F,
0,WR,N,149008171,AUWA,6560,2,J,9,U,9,9,9,0,0,2,0,0,1,0,69,11.9,300,9/19/18,83,BLCA,5,F,
0,WR,N,149008172,AUWA,6560,2,J,9,F,H,9,9,0,0,2,2,0,1,0,71,11.4,300,9/19/18,91,BLCA,5,F,
0,WR,N,149008173,AUWA,6560,2,J,S,U,9,9,3,0,0,2,1,0,1,0,73,12.9,300,9/19/18,91,BLCA,5,F,
0,WR,N,149008174,AUWA,6560,2,J,S,M,H,9,3,0,0,1,1,0,1,0,73,12.2,300,9/19/18,103,BLCA,5,F,
0,WR,N,149008175,BRSP,,2,S,9,U,9,9,2,0,0,2,2,0,1,0,64,11.7,300,9/19/18,113,BLCA,1,F,
0,WR,N,149008176,AUWA,6560,2,J,9,U,9,9,9,0,0,0,0,0,1,0,70,10.9,300,9/19/18,113,BLCA,7,F,
0,WR,N,149008177,ORJU,5671,3,A,9,M,A,9,9,0,0,1,1,0,1,0,78,17,300,9/19/18,123,BLCA,10,F,
0,WR,N,149008178,ORJU,5671,U,9,9,U,9,9,9,0,0,1,2,0,1,0,69,17,300,9/27/18,102,BLCA,6,F,
0,WR,N,149008179,ORJU,5671,2,J,9,U,9,9,9,0,0,1,1,0,1,0,70,16.1,300,9/27/18,103,BLCA,9,F,
0,WR,N,149008180,AUWA,6560,2,J,S,F,H,9,3,0,0,1,0,0,1,0,77,11.6,300,9/27/18,103,BLCA,3,F,
0,WR,N,149008181,AUWA,6560,2,J,S,M,H,9,4,0,0,3,1,0,1,0,72,11.4,300,10/12/18,82,BLCA,5,F,
0,JB,N,149008182,AUWA,6560,2,J,S,U,9,9,4,0,0,3,0,0,1,0,72,10.6,300,10/12/18,84,BLCA,5,F,
0,WR,N,149008183,AUWA,6560,2,S,M,M,H,9,5,0,0,1,0,0,1,0,74,11.9,300,10/12/18,84,BLCA,5,F,
0,WR,N,149008184,ORJU,5671,2,S,9,U,9,9,3,0,0,2,0,0,1,0,73,17.5,300,10/12/18,91,BLCA,5,F,
0,JB,N,149008185,ORJU,5671,2,S,9,U,9,9,2,0,0,1,0,0,1,0,71,16.2,300,10/12/18,91,BLCA,6,F,
0,WR,N,149008186,MOCH,,U,9,9,U,9,9,9,9,9,9,9,9,9,9,72,10.7,300,10/12/18,95,BLCA,7,F,
,WR,U,,WIWA,6850,3,A,9,M,A,9,9,0,0,2,2,F,1,0,56,7.7,0,8/8/18,91,BLCA,7,F,
OA,WR,N,231030398,AUWA,6560,2,S,J,U,9,9,2,0,0,2,1,0,0,0,72,12.5,300,8/8/18,95,BLCA,4,F,
OA,WR,N,231030399,OCWA,6460,2,J,9,U,9,9,9,9,9,9,9,9,9,9,57,999.9,300,8/8/18,100,BLCA,2,F,
OA,WR,N,231030400,OCWA,6460,2,J,9,U,9,9,9,0,0,1,0,0,1,0,56,8.6,300,8/8/18,100,BLCA,6,F,
OA,WR,N,223082701,BRCR,7260,2,J,S,U,9,9,2,0,0,1,0,0,0,0,65,7.7,300,8/8/18,105,BLCA,7,F,
OA,WR,N,223082702,WIWA,6850,3,A,M,U,9,9,9,0,0,1,3,F,3,2,52,7.9,300,8/8/18,112,BLCA,6,T,prob male
OA,WR,N,223082703,WIWA,6850,3,A,M,U,9,9,9,0,0,1,2,0,0,0,55,7.7,300,8/8/18,123,BLCA,5,F,
OA,WR,N,223082704,OCWA,6460,2,S,9,U,9,9,3,0,0,4,0,0,1,0,61,9.5,300,8/16/18,90,BLCA,6,F,
OA,WR,N,223082705,WIWA,6850,3,A,M,M,C,9,6,0,0,1,1,0,1,0,55,7.3,300,8/16/18,90,BLCA,2,F,
OA,WR,N,223082706,WIWA,6850,3,A,M,M,A,9,9,0,0,2,2,F,1,0,54,8.4,300,8/16/18,105,BLCA,3,F,
OA,WR,N,223082707,OCWA,6460,2,J,S,U,9,9,4,0,0,1,3,0,1,0,55,8.5,300,8/16/18,114,BLCA,7,F,
OA,WR,N,223082708,OCWA,6460,2,J,9,U,9,9,9,0,0,0,0,0,1,0,55,8,300,8/22/18,85,BLCA,1,F,
OA,WR,N,223082709,OCWA,6460,2,J,9,U,9,9,9,0,0,2,0,0,1,0,55,8,300,8/22/18,85,BLCA,1,F,
OA,WR,N,223082710,OCWA,6460,2,J,9,U,9,9,9,0,0,3,0,0,1,0,999,8,300,8/22/18,85,BLCA,1,F,
OA,WR,N,223082711,WIWA,6850,3,A,9,M,A,9,6,0,0,2,0,0,1,0,57,7.6,300,8/22/18,93,BLCA,9,F,
OA,WR,N,223082712,WIWA,6850,3,A,9,M,A,9,9,0,0,1,0,0,1,0,57,7,300,8/22/18,100,BLCA,7,T,"missing top (~2mm) of upper mandible, seems to be working fine, but definitely broken"
OA,WR,N,223082713,WIWA,6850,3,A,9,M,A,9,9,0,0,0,3,F,0,0,50,8,300,8/22/18,120,BLCA,4,T,"P6-9 growing in, hence very short wg"
OA,WR,N,223082714,RCKI,7490,2,S,R,F,H,9,2,0,0,1,0,0,1,0,53,5.8,300,9/19/18,83,BLCA,4,F,
OA,WR,N,223082715,OCWA,6460,2,J,S,M,H,9,5,0,0,5,0,0,2,0,58,10.2,300,9/19/18,83,BLCA,1,T,lutescens
OA,WR,N,223082716,RCKI,7490,3,A,S,F,A,9,6,0,0,2,0,0,1,0,56,6,300,9/19/18,91,BLCA,4,F,
OA,WR,N,223082717,RCKI,7490,2,R,9,F,H,9,9,0,0,2,0,0,1,0,57,6,300,9/19/18,103,BLCA,1,F,
OA,WR,N,223082718,OCWA,6460,2,J,9,M,H,9,9,0,0,3,0,0,1,0,61,9.6,300,9/19/18,103,BLCA,5,T,lutescens
OA,WR,N,223082719,RCKI,7490,2,S,R,F,H,9,3,0,0,2,0,0,1,0,55,5.7,300,9/19/18,113,BLCA,6,F,
OA,WR,N,223082720,RCKI,7490,2,S,R,M,H,9,3,0,0,3,0,0,1,0,61,6.9,300,9/27/18,84,BLCA,4,F,
OA,WR,N,223082721,OCWA,6460,U,9,9,U,9,9,6,0,0,4,0,0,1,0,60,9.9,300,9/27/18,90,BLCA,5,F,
OA,WR,N,223082722,OCWA,6460,2,J,9,M,H,9,6,0,0,4,0,0,1,0,59,9.6,300,9/27/18,95,BLCA,6,F,
OA,WR,N,223082723,RCKI,7490,2,R,9,F,H,9,9,0,0,3,0,0,1,0,56,999.9,300,9/27/18,101,BLCA,5,F,
OA,WR,N,223082724,OCWA,6460,2,J,9,M,H,9,9,0,0,4,0,0,1,0,60,9.3,300,9/27/18,101,BLCA,5,F,
OA,WR,N,223082725,RCKI,7490,3,R,9,F,A,9,9,0,0,3,0,0,1,0,56,5.9,300,9/27/18,101,BLCA,7,F,
OA,WR,N,223082726,RCKI,7490,3,R,9,M,A,9,9,0,0,3,0,0,1,0,60,7,300,9/27/18,102,BLCA,6,F,
OA,WR,N,223082727,RCKI,7490,3,R,9,F,A,9,9,0,0,3,0,0,1,0,58,6,300,9/27/18,102,BLCA,9,F,
OA,WR,N,223082728,OCWA,6460,2,J,9,U,9,9,9,0,0,5,0,0,1,0,57,12.5,300,9/27/18,102,BLCA,9,F,
OA,WR,N,223082729,OCWA,6460,3,R,9,F,A,9,9,0,0,3,0,0,1,0,59,5.9,300,9/27/18,104,BLCA,1,F,
OA,WR,N,223082730,OCWA,6460,3,R,9,F,A,9,9,0,0,3,0,0,1,0,64,6.4,300,9/27/18,104,BLCA,1,F,
OA,WR,N,223082731,RCKI,7490,3,R,9,F,A,9,9,9,9,9,9,9,9,9,999,999.9,300,9/27/18,110,BLCA,9,F,
OA,WR,N,223082732,OCWA,6460,2,J,9,M,H,9,9,0,0,5,0,0,1,0,61,11.1,300,9/27/18,110,BLCA,4,F,
OA,WR,N,223082733,RCKI,7490,3,R,9,F,H,9,9,0,0,4,0,0,1,0,56,6.8,300,9/27/18,110,BLCA,5,F,
OA,WR,N,223082734,RCKI,7490,2,R,S,M,H,9,3,0,0,2,0,0,1,0,58,6.7,300,9/27/18,110,BLCA,5,F,
OA,WR,N,223082735,RCKI,7490,2,R,S,M,H,9,3,0,0,3,0,0,1,0,58,7.1,300,9/27/18,110,BLCA,5,F,
OA,WR,N,223082736,RCKI,7490,3,R,9,F,H,9,9,0,0,3,0,0,1,0,59,6.4,300,9/27/18,115,BLCA,5,F,
OA,WR,N,223082737,RCKI,7490,3,R,9,M,A,9,9,0,0,4,0,0,1,0,59,6.3,300,10/12/18,82,BLCA,3,F,
OA,WR,N,223082738,RCKI,7490,2,R,9,M,H,9,9,0,0,3,0,0,1,0,57,5.5,300,10/12/18,83,BLCA,5,F,
OA,WR,N,223082739,RCKI,7490,3,R,9,M,H,9,9,0,0,9,9,9,9,9,59,5.9,300,10/12/18,83,BLCA,5,F,
